timestamp,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accelerometer-x,accelerometer-y,accelerometer-z,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5
2025-03-06 16:56:49,69.0,1930.0,6954.0,3885.0,2197.0,7375.0,440.0,3712.0,9823.0,3959.0,9791.0,5916.0,3838.0,7680.0
2025-03-06 16:56:54,9.0,176.0,3.32,13.724518,100.519515,111.0,-0.054,-0.88,0.945,2438.0,368.0,6340.0,2678.0,7054.0
2025-03-06 16:56:55,10.0,297.0,2.47,13.725318,100.521469,87.0,-0.312,-0.859,0.858,5510.0,3624.0,7837.0,5945.0,3733.0
2025-03-06 16:56:56,11.0,134.0,2.66,13.722828,100.515686,112.0,-0.741,0.5,-0.602,7132.0,4928.0,1004.0,1702.0,159.0
2025-03-06 16:56:57,12.0,134.0,2.95,13.721818,100.51683,94.0,-0.369,0.277,0.603,4133.0,1895.0,240.0,7451.0,2847.0
2025-03-06 16:56:58,13.0,104.0,4.7,13.723388,100.523872,95.0,0.487,0.19,-0.696,496.0,141.0,5545.0,4327.0,4397.0
2025-03-06 16:56:59,14.0,233.0,2.73,13.727858,100.52021,116.0,-0.032,-0.737,-0.998,6032.0,771.0,4038.0,7083.0,1321.0
2025-03-06 16:57:03,17.0,141.0,3.25,13.720838,100.514152,115.0,-0.825,0.687,0.485,3841.0,2955.0,2769.0,8643.0,1126.0
2025-03-06 16:57:04,18.0,255.0,3.54,13.724208,100.522918,88.0,-0.371,0.624,-0.967,9204.0,4538.0,7987.0,5166.0,2404.0
2025-03-06 16:57:05,19.0,185.0,2.11,13.722568,100.522857,108.0,-0.662,0.235,0.362,394.0,6360.0,264.0,6304.0,1540.0
2025-03-06 16:57:06,20.0,201.0,2.13,13.726788,100.523162,103.0,-0.223,-0.178,-0.841,8223.0,7270.0,4235.0,5126.0,9970.0
2025-03-06 16:57:08,21.0,165.0,2.61,13.719319,100.515678,96.0,0.968,-0.796,0.275,1326.0,6730.0,5692.0,554.0,615.0
2025-03-06 16:57:09,22.0,266.0,3.39,13.719248,100.521598,95.0,0.836,-0.688,0.818,1616.0,6855.0,3357.0,3770.0,2046.0
2025-03-06 16:57:10,23.0,184.0,2.11,13.719558,100.517349,101.0,0.301,0.293,0.315,9195.0,9960.0,3150.0,4145.0,5246.0
2025-03-06 16:57:11,24.0,83.0,3.38,13.724908,100.521972,83.0,-0.424,-0.095,0.419,3519.0,6710.0,3949.0,5385.0,4086.0
2025-03-06 16:57:12,25.0,89.0,4.15,13.726469,100.52256,94.0,-0.733,0.909,0.801,347.0,5605.0,7422.0,9487.0,3365.0
2025-03-06 16:57:13,26.0,109.0,2.87,13.725969,100.518898,117.0,-0.741,-0.329,0.394,9806.0,109.0,1077.0,3922.0,9071.0
2025-03-06 16:57:14,27.0,254.0,3.82,13.726828,100.521118,106.0,-0.524,0.417,-0.467,4139.0,3225.0,5620.0,1732.0,2490.0
2025-03-06 16:57:16,28.0,120.0,4.56,13.725728,100.520088,115.0,0.84,0.234,-0.973,584.0,207.0,5810.0,8450.0,5511.0
2025-03-06 16:57:17,29.0,230.0,3.05,13.725648,100.520965,97.0,0.853,-0.768,0.147,3631.0,1898.0,3435.0,908.0,2689.0
2025-03-06 16:57:18,30.0,172.0,4.52,13.724908,100.519126,98.0,-0.337,-0.092,0.118,1650.0,2304.0,5373.0,1998.0,2306.0
2025-03-06 16:57:19,31.0,214.0,2.79,13.725849,100.516868,90.0,0.111,-0.48,0.784,7438.0,3523.0,2581.0,1459.0,1673.0
2025-03-06 16:57:20,32.0,249.0,2.68,13.725718,100.518325,106.0,-0.753,0.522,-0.744,1073.0,468.0,3191.0,6692.0,7079.0
2025-03-06 16:57:21,33.0,90.0,3.85,13.727088,100.517547,82.0,-0.156,-0.286,-0.254,7001.0,568.0,5956.0,7949.0,8755.0
2025-03-06 16:57:23,34.0,203.0,3.37,13.718829,100.516517,83.0,-0.345,0.776,-0.065,7985.0,4102.0,1481.0,3477.0,3656.0
2025-03-06 16:57:24,35.0,154.0,4.83,13.720158,100.519531,88.0,-0.45,-0.903,-0.798,4142.0,5627.0,4506.0,2900.0,7403.0
2025-03-06 16:57:25,36.0,234.0,3.75,13.727079,100.521041,82.0,0.713,0.587,0.439,5051.0,1504.0,8193.0,7718.0,4958.0
2025-03-06 16:57:26,37.0,247.0,4.18,13.727918,100.522941,106.0,-0.901,0.174,-0.504,5901.0,4282.0,7159.0,8972.0,1013.0
2025-03-06 16:57:27,38.0,133.0,2.45,13.719768,100.521759,102.0,0.926,-0.695,-0.845,9540.0,3608.0,6213.0,9097.0,1186.0
